,49330000,49340080,49370000,49660000,49705000,49740000,49775000
1960-06-16,,,1984.41,,1624.53,,
1960-06-17,,,1966.91,,1604.06,,
1960-06-18,,,1958.18,,1583.74,,
1960-06-19,,,1932.11,,1570.27,,
1960-06-20,,,1914.82,,1556.88,,
1960-06-21,,,1914.82,,1556.88,,
1960-06-22,,,1906.2,,1550.2,,
1960-06-23,,,1897.6,,1550.2,,
1960-06-24,,,1871.9,,1536.9,,
1960-06-25,,,1854.85,,1517.08,,
1960-06-26,,,1837.87,,1510.5,,
1960-06-27,,,1820.97,,1503.95,,
1960-06-28,,,1812.54,,1497.4,,
1960-06-29,,,1795.74,,1490.88,,
1960-06-30,,,1787.36,,1490.88,,
1960-07-01,,,1787.36,,1477.88,,
1960-07-02,,,1829.41,,1464.94,,
1960-07-03,,,1820.97,,1458.5,,
1960-07-04,,,1762.35,,1452.07,,
1960-07-05,,,1745.76,,1445.66,,
1960-07-06,,,1745.76,,1445.66,,
1960-07-07,,,1729.24,,1439.26,,
1960-07-08,,,1712.79,,1439.26,,
1960-07-09,,,1704.59,,1426.52,,
1960-07-10,,,1712.79,,1407.54,,
1960-07-11,,,1712.79,,1382.45,,
1960-07-12,,,1704.59,,1363.8,,
1960-07-13,,,1688.24,,1363.8,,
1960-07-14,,,1639.64,,1351.45,,
1960-07-15,,,1599.63,,1339.17,,
1960-07-16,,,1583.74,,1333.05,,
1960-07-17,,,1583.74,,1326.95,,
1960-07-18,,,1575.83,,1320.86,,
1960-07-19,,,1591.68,,1314.8,,
1960-07-20,,,1607.59,,1308.74,,
1960-07-21,,,1607.59,,1302.7,,
1960-07-22,,,1591.68,,1302.7,,
1960-07-23,,,1591.68,,1296.68,,
1960-07-24,,,1575.83,,1296.68,,
1960-07-25,,,1560.05,,1290.68,,
1960-07-26,,,1536.53,,1284.69,,
1960-07-27,,,1497.67,,1278.72,,
1960-07-28,,,1520.93,,1272.76,,
1960-07-29,,,1536.53,,1272.76,,
1960-07-30,,,1520.93,,1266.82,,
1960-07-31,,,1505.4,,1266.82,,
1960-08-01,,,1489.95,,1243.22,,
1960-08-02,,,1474.57,,1237.36,,
1960-08-03,,,1474.57,,1225.68,,
1960-08-04,,,1459.26,,1219.87,,
1960-08-05,,,1451.63,,1208.29,,
1960-08-06,,,1436.43,,1208.29,,
1960-08-07,,,1436.43,,1202.53,,
1960-08-08,,,1421.3,,1202.53,,
1960-08-09,,,1413.76,,1196.78,,
1960-08-10,,,1398.74,,1191.04,,
1960-08-11,,,1391.26,,1185.33,,
1960-08-12,,,1376.34,,1173.94,,
1960-08-13,,,1361.5,,1162.62,,
1960-08-14,,,1361.5,,1151.36,,
1960-08-15,,,1354.11,,1145.75,,
1960-08-16,,,1354.11,,1140.16,,
1960-08-17,,,1346.73,,1134.58,,
1960-08-18,,,1339.37,,1129.03,,
1960-08-19,,,1317.41,,1123.48,,
1960-08-20,,,1317.41,,1123.48,,
1960-08-21,,,1317.41,,1129.03,,
1960-08-22,,,1310.13,,1134.58,,
1960-08-23,,,1310.13,,1123.48,,
1960-08-24,,,1302.86,,1123.48,,
1960-08-25,,,1302.86,,1123.48,,
1960-08-26,,,1302.86,,1112.44,,
1960-08-27,,,1302.86,,1106.95,,
1960-08-28,,,1295.61,,1101.47,,
1960-08-29,,,1295.61,,1096.0,,
1960-08-30,,,1295.61,,1096.0,,
1960-08-31,,,1295.61,,1085.12,,
1960-09-01,,,1295.61,,1074.3,,
1960-09-02,,,1295.61,,1068.91,,
1960-09-03,,,1295.61,,1063.54,,
1960-09-04,,,1288.38,,1058.19,,
1960-09-05,,,1288.38,,1085.12,,
1960-09-06,,,1288.38,,1052.85,,
1960-09-07,,,1273.97,,1047.52,,
1960-09-08,,,1252.5,,1047.52,,
1960-09-09,,,1210.05,,1042.21,,
1960-09-10,,,1182.11,,1042.21,,
1960-09-11,,,1168.25,,1036.92,,
1960-09-12,,,1168.25,,1031.64,,
1960-09-13,,,1154.47,,1021.14,,
1960-09-14,,,1154.47,,1015.9,,
1960-09-15,,,1133.93,,1010.69,,
1960-09-16,,,1133.93,,1005.49,,
1960-09-17,,,1120.33,,1000.3,,
1960-09-18,,,1113.56,,995.136,,
1960-09-19,,,1113.56,,995.136,,
1960-09-20,,,1127.12,,989.983,,
1960-09-21,,,1120.33,,984.845,,
1960-09-22,,,1093.35,,979.722,,
1960-09-23,,,1079.97,,979.722,,
1960-09-24,,,1079.97,,984.845,,
1960-09-25,,,1060.04,,979.722,,
1960-09-26,,,1046.85,,979.722,,
1960-09-27,,,1086.65,,979.722,,
1960-09-28,,,1113.56,,974.615,,
1960-09-29,,,1113.56,,974.615,,
1960-09-30,,,1127.12,,969.523,,
1960-10-01,,,1066.67,,964.447,,
1960-10-02,,,1066.67,,959.386,,
1960-10-03,,,1046.85,,959.386,,
