,53540001_FLU,53620000_FLU,53630000_FLU,53650000_FLU,53732000_FLU,53780000_FLU,53880000_FLU,53950000_FLU
1970-02-10,67.836,61.636,63.807,73.325,,12.317,141.047,169.113
1970-02-11,61.151,57.445,59.736,65.654,,12.317,131.023,158.9
1970-02-12,57.075,53.425,54.987,59.131,,12.001,124.48,130.161
1970-02-13,53.081,50.521,52.348,57.544,,11.692,111.74,122.477
1970-02-14,49.946,48.637,48.158,55.975,,11.39,104.525,113.03
1970-02-15,48.399,47.711,45.015,50.625,,10.806,99.473,106.525
1970-02-16,47.631,45.889,43.511,49.138,,11.692,94.506,101.022
1970-02-17,45.347,44.109,41.335,44.076,,12.001,92.543,97.393
1970-02-18,43.843,43.234,39.253,42.672,,11.095,92.543,96.491
1970-02-19,43.096,41.515,38.579,40.6,,10.806,87.698,93.795
1970-02-20,41.614,40.671,36.617,37.905,,10.806,82.941,88.459
1970-02-21,40.878,42.369,37.261,37.905,,10.246,79.201,84.068
1970-02-22,42.353,42.369,39.253,37.905,,9.976,75.52,80.595
1970-02-23,42.353,47.711,40.631,37.905,,9.712,73.702,78.012
1970-02-24,47.631,48.637,46.564,44.785,,9.453,74.609,77.156
1970-02-25,48.399,49.574,47.355,49.138,,9.453,74.609,78.012
1970-02-26,49.17,44.994,44.258,49.138,,9.2,77.353,79.732
1970-02-27,44.593,42.369,40.631,46.217,,9.712,81.064,83.197
1970-02-28,42.353,40.671,37.915,43.371,,14.359,89.625,89.343
1970-03-01,40.878,41.515,37.261,39.919,,15.873,107.597,103.765
1970-03-02,41.614,43.234,39.253,36.586,,15.873,112.784,114.905
1970-03-03,43.096,44.994,41.335,36.586,,14.726,107.597,114.905
1970-03-04,47.631,47.711,42.05,41.286,,16.678,109.662,113.966
1970-03-05,49.17,49.574,45.784,49.138,,20.251,171.374,149.837
1970-03-06,53.081,50.521,51.486,49.138,,17.094,165.388,175.313
1970-03-07,55.467,50.521,49.798,44.785,,29.339,178.652,180.519
1970-03-08,57.884,53.425,48.158,44.785,,55.336,208.766,203.841
1970-03-09,61.151,59.519,54.987,50.625,,30.005,177.432,200.622
1970-03-10,66.147,62.711,58.934,61.544,,27.416,134.337,160.93
1970-03-11,68.686,67.118,63.807,66.489,,17.951,119.115,132.099
1970-03-12,68.686,66.0,65.464,69.02,,13.305,109.662,118.676
1970-03-13,66.147,61.636,62.167,68.172,,12.317,107.597,113.03
1970-03-14,63.635,55.414,55.768,59.931,,12.001,106.57,112.095
1970-03-15,60.329,52.447,50.636,53.655,,11.39,101.484,108.374
1970-03-16,58.696,47.711,47.355,52.131,,10.806,93.523,101.022
1970-03-17,57.075,43.234,43.511,49.138,,10.523,86.739,93.795
1970-03-18,54.668,40.671,37.915,46.941,,10.246,82.941,88.459
1970-03-19,49.946,38.198,35.356,44.785,,9.976,77.353,83.197
1970-03-20,40.146,35.815,32.947,41.976,,9.976,73.702,78.871
1970-03-21,33.734,35.04,31.233,35.286,,9.712,70.11,74.601
1970-03-22,32.353,32.776,30.133,32.122,,9.712,65.707,70.387
1970-03-23,31.669,32.04,28.033,30.891,,9.453,63.973,67.886
1970-03-24,29.642,31.314,26.541,29.68,,9.2,61.402,65.408
1970-03-25,29.004,29.892,26.059,29.081,,9.453,59.708,62.951
1970-03-26,27.675,29.195,25.117,29.081,,9.2,58.029,61.325
1970-03-27,27.675,28.508,25.117,27.9,,9.2,57.196,60.516
1970-03-28,27.025,27.83,24.657,27.317,,8.953,55.542,58.906
1970-03-29,26.384,27.83,24.657,27.317,,9.453,54.722,57.306
1970-03-30,25.753,27.162,24.205,27.317,,11.39,54.722,57.306
1970-03-31,25.753,26.503,22.89,26.739,,10.246,53.905,56.51
1970-04-01,25.753,26.503,22.89,26.166,,9.712,55.542,57.306
1970-04-02,25.132,25.854,22.047,26.166,,9.453,53.905,57.306
1970-04-03,25.132,25.214,21.636,25.599,,9.2,50.681,54.138
1970-04-04,24.52,25.214,20.833,25.599,,8.953,49.885,52.569
1970-04-05,24.52,25.214,20.833,24.479,,8.953,49.094,51.789
1970-04-06,23.918,24.583,20.833,24.479,,8.712,49.094,51.012
1970-04-07,23.918,24.583,20.833,23.926,,8.476,48.307,51.012
1970-04-08,23.324,24.583,21.231,23.926,,8.712,48.307,50.238
1970-04-09,23.324,25.214,21.636,23.379,,9.2,47.524,50.238
1970-04-10,25.132,27.83,22.465,23.379,,9.976,47.524,49.466
1970-04-11,25.753,27.162,25.117,23.379,,9.976,49.094,50.238
1970-04-12,27.025,27.162,23.321,23.379,,10.246,51.48,52.569
1970-04-13,29.004,29.892,25.584,23.379,,11.39,52.285,54.138
